,,,,,,,,Performance Expectancy,,,,,,Effort Expectancy,,,,,,Social Influence,,,,,,Facilitating Condition,,,,,,Hedonic Motivation,,,,,,Price Value,,,,,,Habit,,,,,,Health Literation,,,,,,Perceived Health Risk ,,,,,,Indigenous Knowledge / Local Wisdom,,,,,,Government Support,,,,,,Security dan Privacy,,,,,,,Trust,,,,Behaviour Intention,,,,
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp1.000.000 - Rp2.500.000,HalloBumil,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,2,2,2,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,S1,Jawa Timur,Rp1.000.000 - Rp2.500.000,theAsianparent,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,4,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Jawa Timur,< Rp1.000.000,Tentang Anak,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,3,3,2,,3,3,3,3,3,,2,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Jawa Barat,> Rp10.000.000,Obwheel,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,2,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,4,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Pegawai Swasta,S1,Jawa Tengah,Rp1.000.000 - Rp2.500.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,SMA,DKI Jakarta,< Rp1.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Pegawai Swasta,S1,Jawa Tengah,Rp5.000.000 - Rp10.000.000,Flo,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,3,4,4,,4,4,3,2,4,,3,4,3,3,3,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Pegawai Swasta,S1,Jawa Tengah,Rp5.000.000 - Rp10.000.000,theAsianparent,> 2 Tahun,,3,3,3,3,3,,3,4,3,3,3,,3,3,3,3,3,,3,4,3,4,4,,3,3,3,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,4,3,4,,2,1,2,3,3,,1,4,1,1,1,,2,2,1,1,1,,4,3,3,3,3,3,,3,3,2,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,S1,Jawa Barat,> Rp10.000.000,Pregnancy+,< 1 Tahun,,4,3,4,3,3,,3,3,3,3,3,,3,2,3,3,3,,3,3,3,4,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,1,1,1,3,2,,1,2,2,1,1,,2,2,2,2,1,,3,3,3,3,3,3,,3,3,3,,3,3,2,3,3
26 - 30 Tahun,Wiraswasta/Pemilik Bisnis,S1,Jawa Tengah,> Rp10.000.000,Pregnancy+,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,2,3,2,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
> 35 Tahun,Ibu rumah tangga,SMA,Nusa Tenggara Timur,Rp2.500.000 - Rp5.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,4,3,,3,3,3,3,3,4,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,PNS,S1,Jawa Tengah,> Rp10.000.000,theAsianparent,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,2,3,,3,3,3,3,3,,3,3,3,1,4,,2,2,2,2,2,,2,2,2,1,3,,2,2,3,2,2,,3,3,3,3,3,2,,3,3,3,,4,4,3,2,3
26 - 30 Tahun,Ibu rumah tangga,SMA,Daerah Istimewa Yogyakarta,Rp2.500.000 - Rp5.000.000,Flo,< 1 Tahun,,3,3,3,3,3,,1,3,2,3,3,,2,3,2,3,3,,2,2,3,3,3,,3,3,2,2,3,,3,3,3,3,2,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,3,2,,2,2,2,2,3,,3,3,3,2,2,,2,3,2,2,3,2,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,SMP,Jawa Barat,< Rp1.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,,2,2,2,2,2
26 - 30 Tahun,Ibu rumah tangga,S1,Daerah Istimewa Yogyakarta,Rp5.000.000 - Rp10.000.000,Flo,< 1 Tahun,,4,4,3,3,3,,3,3,3,4,4,,2,3,2,3,3,,3,3,2,3,3,,3,3,3,3,3,,3,2,2,3,3,,2,3,3,3,3,,3,4,4,3,3,,2,2,2,2,3,,2,2,2,2,3,,3,3,3,2,3,,4,3,3,3,3,3,,3,3,3,,3,3,3,4,3
26 - 30 Tahun,Ibu rumah tangga,SMA,Bali,Rp5.000.000 - Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,3,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,3,3,3
31 -35 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp5.000.000 - Rp10.000.000,Teman Bumil,1 - 2 Tahun,,4,3,4,3,4,,4,3,4,4,3,,4,3,4,4,3,,4,4,3,4,4,,3,4,4,3,4,,3,4,4,3,4,,3,4,3,4,3,,3,4,3,4,3,,3,4,4,3,4,,4,3,3,4,4,,3,4,3,4,3,,3,4,4,4,3,4,,4,4,3,,4,4,3,4,4
26 - 30 Tahun,Ibu rumah tangga,S1,DKI Jakarta,Rp5.000.000 - Rp10.000.000,theAsianparent,< 1 Tahun,,4,4,4,1,4,,2,3,3,4,4,,4,1,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,4,4,4,4,,4,4,4,4,4,,3,4,4,4,4,,4,1,3,4,4,,4,4,1,4,1,,4,4,4,4,4,4,,3,4,4,,4,4,1,4,4
31 -35 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp1.000.000 - Rp2.500.000,theAsianparent,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,1,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,4,1,1,4,,1,4,1,1,4,,1,1,1,1,1,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Pegawai Swasta,S1,Banten,Rp2.500.000 - Rp5.000.000,Teman Bumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,3,4,,4,4,4,4,4,,4,4,4,4,4,,3,4,4,4,4,,4,4,4,3,4,,4,4,3,4,3,,4,4,4,4,4,,3,4,4,4,4,,4,4,4,4,3,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
31 -35 Tahun,Pegawai Swasta,Diploma,Daerah Istimewa Yogyakarta,Rp2.500.000 - Rp5.000.000,Teman Bumil,< 1 Tahun,,3,3,3,3,3,,2,3,3,3,3,,3,4,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,1,1,3,3,,3,3,3,3,3,,4,4,4,3,3,,3,3,3,3,3,,2,4,1,2,2,,2,2,2,2,1,,2,2,2,2,2,2,,3,3,3,,4,4,4,4,4
31 -35 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp2.500.000 - Rp5.000.000,Teman Bumil,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,1,4,1,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
31 -35 Tahun,Wiraswasta/Pemilik Bisnis,S1,Jawa Tengah,> Rp10.000.000,Teman Bumil,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
< 20 Tahun,Ibu rumah tangga,SMP,Banten,Rp1.000.000 - Rp2.500.000,Teman Bumil,< 1 Tahun,,4,4,4,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,4,4,4,,4,4,4,3,3,,3,3,3,3,3,,3,3,3,4,4,,4,4,4,3,4,,4,4,4,4,4,,3,3,3,3,3,3,,3,3,4,,4,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Jawa Timur,Rp2.500.000 - Rp5.000.000,Flo,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,1,1,1,1,4,,4,4,2,4,4,,4,4,4,4,4,,3,4,4,4,4,,4,4,4,4,4,,3,3,3,3,4,,4,3,2,2,4,,3,3,4,2,3,,1,1,1,1,1,,4,4,4,4,4,4,,3,4,4,,4,3,3,4,3
31 -35 Tahun,Guru / Dosen,S1,Sumatera Barat,Rp2.500.000 - Rp5.000.000,Flo,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,2,2,2,,3,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Lainnya,S1,Jawa Tengah,Rp1.000.000 - Rp2.500.000,Kehamilan+,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Pegawai Swasta,SMA,Daerah Istimewa Yogyakarta,Rp1.000.000 - Rp2.500.000,theAsianparent,1 - 2 Tahun,,3,3,3,3,3,,2,3,3,3,3,,4,2,2,3,3,,2,2,2,2,2,,3,3,2,2,3,,2,2,2,2,2,,2,4,2,3,3,,3,3,3,3,3,,3,3,2,2,3,,2,3,3,1,2,,2,2,4,2,2,,3,3,3,3,3,3,,4,4,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,SMA,Sumatera Barat,Rp1.000.000 - Rp2.500.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,3,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,2,,2,2,2,,2,2,2,2,2
31 -35 Tahun,Guru / Dosen,S1,Sumatera Barat,Rp2.500.000 - Rp5.000.000,Flo,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,2,,2,2,2,2,2,,3,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Wiraswasta/Pemilik Bisnis,Diploma,Sumatera Barat,Rp2.500.000 - Rp5.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,< 1 Tahun,,3,3,3,3,3,,2,3,3,3,3,,3,4,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,1,1,3,3,,3,3,3,3,3,,4,4,4,4,3,,3,3,3,3,3,,2,4,1,2,2,,2,2,2,2,1,,2,2,2,2,2,2,,3,3,3,,3,4,4,4,4
31 -35 Tahun,Ibu rumah tangga,SMA,Sumatera Barat,Rp5.000.000 - Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,2,3,2,,3,3,3,3,3,,3,3,2,3,2,,2,2,2,2,3,,3,2,3,3,3,,2,2,3,3,3,,3,3,3,3,3,,2,3,2,2,2,,2,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,2,2,3,2
31 -35 Tahun,Ibu rumah tangga,SMA,Sumatera Barat,Rp2.500.000 - Rp5.000.000,Pregnancy+,< 1 Tahun,,4,3,3,3,3,,4,4,3,4,4,,4,2,2,3,4,,3,3,3,4,3,,3,2,3,2,3,,2,3,3,3,3,,3,3,3,3,2,,3,4,4,4,3,,1,3,2,3,3,,2,4,1,1,2,,3,3,2,2,2,,4,4,4,3,3,1,,4,4,3,,1,3,3,3,2
31 -35 Tahun,Ibu rumah tangga,SMA,Daerah Istimewa Yogyakarta,> Rp10.000.000,Pregnancy+,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,1,1,1,1,3,,3,4,1,4,4,,4,4,4,4,4,,4,3,3,3,3,,4,4,4,4,4,,4,4,4,4,4,,1,3,2,4,4,,2,2,2,1,2,,1,1,1,1,1,,3,4,3,3,3,3,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,S1,Jawa Barat,< Rp1.000.000,HalloBumil,1 - 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,3,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,3,,4,4,4,3,4,3,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Guru / Dosen,S1,Jawa Timur,Rp1.000.000 - Rp2.500.000,Teman Bumil,< 1 Tahun,,4,4,4,4,4,,3,3,3,3,3,,1,1,1,1,3,,3,2,3,4,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,3,3,4,,4,4,4,2,4,,2,2,2,4,3,,3,3,2,1,2,,1,1,1,1,1,,3,3,3,3,3,3,,4,4,4,,3,3,3,3,3
20 - 25 Tahun,Lainnya,SMA,DKI Jakarta,Rp5.000.000 - Rp10.000.000,Flo,< 1 Tahun,,3,2,3,3,3,,3,3,3,4,3,,2,1,1,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,1,1,3,2,,3,2,2,3,2,,3,3,3,3,3,,1,3,1,2,2,,3,2,2,1,2,,3,2,1,1,1,,3,3,3,3,3,3,,3,3,3,,2,2,3,3,3
20 - 25 Tahun,Pegawai Swasta,S1,Jawa Tengah,Rp5.000.000 - Rp10.000.000,Flo,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,3,,4,4,4,4,3,,4,4,4,4,4,,2,1,2,3,3,,4,4,3,1,2,,3,4,4,2,2,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 Tahun,PNS,S1,Jawa Barat,> Rp10.000.000,Flo,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,3,4,,4,4,4,4,4,,3,4,4,4,4,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,4,4,1,4,,1,1,1,1,1,,4,4,4,4,4,4,,4,3,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,S1,Kalimantan Barat,> Rp10.000.000,Flo,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,3,3,3,,2,2,2,2,2,,2,2,2,2,2,,4,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Pegawai Swasta,SMA,Jawa Barat,Rp5.000.000 - Rp10.000.000,bomee,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,SMA,DKI Jakarta,Rp5.000.000 - Rp10.000.000,theAsianparent,1 - 2 Tahun,,3,3,2,2,3,,3,2,3,3,3,,3,2,3,4,4,,4,3,3,3,2,,4,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,2,3,2,2,,2,2,2,2,2,,4,3,4,4,4,,4,4,4,4,4,,2,2,2,3,3,3,,2,3,3,,3,3,3,2,3
26 - 30 Tahun,Ibu rumah tangga,S2,Banten,Rp2.500.000 - Rp5.000.000,Bomee,> 2 Tahun,,4,4,4,4,4,,3,4,4,4,4,,3,2,2,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,2,2,3,3,,3,3,3,3,3,,4,3,4,4,4,,3,2,2,4,4,,2,1,3,1,1,,4,4,4,2,2,,3,4,4,3,3,3,,3,3,3,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,SMA,Banten,Rp2.500.000 - Rp5.000.000,theAsianparent,< 1 Tahun,,4,3,4,3,4,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,4,3,,3,3,3,3,3,,4,3,3,3,4,,2,3,2,3,3,,4,4,3,2,4,,4,4,4,4,4,,4,3,3,3,3,3,,4,4,4,,4,4,2,4,3
26 - 30 Tahun,Wiraswasta/Pemilik Bisnis,SMA,Jawa Barat,Rp2.500.000 - Rp5.000.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,2,3,4,4,,3,3,2,1,2,,1,1,1,1,1,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,PNS,S1,Jawa Timur,Rp5.000.000 - Rp10.000.000,Tentang Anak,> 2 Tahun,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,2,3,2,3,,2,2,3,3,2,,3,4,4,4,4,3,,4,4,4,,4,3,4,4,4
26 - 30 Tahun,Ibu rumah tangga,S1,DKI Jakarta,Rp5.000.000 - Rp10.000.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,4,1,1,1,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,3,4,4,,1,4,4,3,4,,4,4,4,1,4,,4,3,1,4,1,,2,4,1,1,1,,1,1,1,1,1,,4,1,1,1,4,4,,4,4,4,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp5.000.000 - Rp10.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,2,2,2,2,2,,4,4,2,2,4,,1,1,1,1,1,,2,2,2,2,2,2,,2,2,2,,2,2,2,2,2
31 -35 Tahun,Wiraswasta/Pemilik Bisnis,S1,Riau,Rp2.500.000 - Rp5.000.000,Flo,> 2 Tahun,,3,2,3,2,3,,3,3,3,3,3,,2,3,1,3,3,,3,3,1,3,4,,3,2,3,3,3,,3,1,1,3,2,,3,3,3,3,4,,4,4,3,4,3,,2,3,1,2,2,,2,2,1,1,3,,1,1,1,1,1,,3,2,3,3,3,3,,3,3,3,,4,3,2,2,2
26 - 30 Tahun,Guru / Dosen,S1,Jawa Timur,> Rp10.000.000,theAsianparent,< 1 Tahun,,4,4,4,4,3,,3,4,4,3,4,,2,1,1,1,3,,3,3,3,3,4,,3,3,3,4,3,,3,2,4,4,3,,2,3,3,3,3,,3,3,3,3,3,,1,1,1,2,2,,2,2,2,1,3,,1,1,1,1,1,,3,3,3,3,3,3,,3,3,3,,4,4,3,3,3
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp2.500.000 - Rp5.000.000,HalloBumil,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,3,4,4,4,4,,4,3,3,4,4,,4,4,4,4,4,,4,3,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,3,4,4,4,,4,4,3,,4,3,3,4,4
26 - 30 Tahun,Pegawai Swasta,S1,DKI Jakarta,Rp5.000.000 - Rp10.000.000,HalloBumil,< 1 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
> 35 Tahun,Ibu rumah tangga,SMA,DKI Jakarta,Rp5.000.000 - Rp10.000.000,Pregnancy+,1 - 2 Tahun,,4,4,4,4,3,,4,4,4,4,4,,4,3,3,3,3,,3,4,4,4,4,,3,3,3,3,3,,3,3,3,3,4,,3,3,3,3,3,,4,4,4,4,4,,4,4,2,4,4,,4,4,4,3,4,,4,4,4,4,4,,3,3,3,3,3,3,,4,3,4,,4,4,4,4,4
20 - 25 Tahun,Ibu rumah tangga,SMA,Jawa Tengah,Rp2.500.000 - Rp5.000.000,meet you,1 - 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,4,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
26 - 30 Tahun,Ibu rumah tangga,S1,Kalimantan Selatan,Rp5.000.000 - Rp10.000.000,Flo,< 1 Tahun,,4,4,4,4,4,,4,4,4,4,4,,1,1,1,1,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,2,4,2,2,2,,4,4,4,4,4,,4,4,4,4,4,4,,4,4,4,,4,4,4,4,4
26 - 30 Tahun,Ibu rumah tangga,SMA,Jawa Barat,Rp2.500.000 - Rp5.000.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,4,4,3,4,4,,3,3,3,3,3,,3,4,3,4,4,,4,4,4,4,4,,4,2,2,4,2,,4,4,4,4,4,,4,4,4,4,3,,2,4,2,4,4,,2,3,3,1,3,,4,4,3,4,3,,4,4,4,4,4,1,,4,4,4,,3,4,3,3,4
20 - 25 Tahun,Ibu rumah tangga,SMA,Banten,Rp2.500.000 - Rp5.000.000,theAsianparent,> 2 Tahun,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,2,3,2,3,3,,3,2,3,2,3,,2,3,2,2,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
20 - 25 Tahun,Ibu rumah tangga,S1,Sulawesi Barat,Rp1.000.000 - Rp2.500.000,Meet you,1 - 2 Tahun,,4,4,4,2,3,,3,3,3,3,3,,4,3,3,2,3,,3,3,3,4,4,,3,3,3,3,3,,3,2,1,3,3,,3,4,3,3,3,,3,4,3,3,3,,2,1,2,2,2,,1,4,3,1,4,,3,3,2,2,1,,3,4,3,3,3,3,,3,3,3,,4,4,2,3,2
20 - 25 Tahun,Ibu rumah tangga,S1,DKI Jakarta,Rp2.500.000 - Rp5.000.000,theAsianparent,< 1 Tahun,,4,4,4,4,4,,3,3,3,3,3,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,,3,3,3,4,4,,3,4,4,4,4,4,,4,4,4,,4,4,4,4,4
> 35 Tahun,Lainnya,S1,Banten,< Rp1.000.000,Tidak pernah menggunakan aplikasi kesehatan kehamilan,Tidak Pernah Menggunakan Aplikasi,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,1,3,3,3,1,,3,3,3,3,3,,3,3,2,3,3,,2,3,3,2,3,,3,3,2,1,2,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
31 -35 Tahun,Guru / Dosen,S1,Jawa Tengah,Rp1.000.000 - Rp2.500.000,Flo,> 2 Tahun,,3,3,3,4,3,,3,3,3,3,3,,2,2,2,2,3,,3,3,2,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,,3,3,2,1,2,,1,2,2,3,1,,3,3,3,3,3,3,,3,3,3,,3,3,3,3,3
